Timestamp,Temperature,Humidity,Location,Date,Time
4/21/21 20:03,22,28,Home,4/21/21,20:03:00
4/21/21 20:05,21,27,Home,4/21/21,20:05:00
4/21/21 20:07,21,27,Home,4/21/21,20:07:00
4/21/21 20:09,21,27,Home,4/21/21,20:09:00
4/21/21 20:11,21,27,Home,4/21/21,20:11:00
4/21/21 20:13,21,26,Home,4/21/21,20:13:00
4/21/21 20:15,21,26,Home,4/21/21,20:15:00
4/21/21 20:17,21,26,Home,4/21/21,20:17:00
4/21/21 20:19,21,26,Home,4/21/21,20:19:00
4/21/21 20:21,21,26,Home,4/21/21,20:21:00
4/21/21 20:23,20,25,Home,4/21/21,20:23:00
4/21/21 20:25,20,25,Home,4/21/21,20:25:00
4/21/21 20:27,20,25,Home,4/21/21,20:27:00
4/21/21 20:29,20,25,Home,4/21/21,20:29:00
4/21/21 20:31,20,25,Home,4/21/21,20:31:00
4/21/21 20:33,20,25,Home,4/21/21,20:33:00
4/21/21 20:35,20,25,Home,4/21/21,20:35:00
4/21/21 20:37,20,25,Home,4/21/21,20:37:00
4/21/21 20:39,20,25,Home,4/21/21,20:39:00
4/21/21 20:41,20,25,Home,4/21/21,20:41:00
4/21/21 20:43,20,25,Home,4/21/21,20:43:00
4/21/21 20:45,20,25,Home,4/21/21,20:45:00
4/21/21 20:47,20,25,Home,4/21/21,20:47:00
4/21/21 20:49,19,25,Home,4/21/21,20:49:00
4/21/21 20:51,19,25,Home,4/21/21,20:51:00
4/21/21 20:53,19,25,Home,4/21/21,20:53:00
4/21/21 20:55,19,25,Home,4/21/21,20:55:00
